公司	簡稱	年/月	  現金及約當現金	  透過損益按公允價值衡量之金融資產－流動	  合約資產－流動	  應收帳款及票據	  其他應收款	  資金貸予他人－流動	  存貨	  待出售非流動資產	  當期所得稅資產－流動	流動資產	  按攤銷後成本衡量之金融資產－非流動	  採權益法之長期股權投資	  預付投資款	  不動產廠房及設備	  商譽及無形資產合計	    遞延所得稅資產	    投資性不動產淨額	  其他非流動資產	非流動資產	資產總額	  短期借款	  透過損益按公允價值衡量之金融負債－流動	  合約負債－流動	  應付帳款及票據	  其他應付款	  當期所得稅負債	  與待出售非流動資產直接相關之負債	  一年內到期長期負債	流動負債	  透過損益按公允價值衡量之金融負債－非流動	  應付公司債－非流動	  銀行借款－非流動	  負債準備－非流動	  應計退休金負債	  遞延所得稅	非流動負債	負債總額	  股本	  資本公積合計	    法定盈餘公積	    特別盈餘公積	    未分配盈餘	  保留盈餘	  其他權益	  庫藏股票帳面值	母公司股東權益合計	共同控制下前手權益	合併前非屬共同控制股權	非控制權益	股東權益總額	負債及股東權益總額
1103   	嘉泥         	201012	     3142007	     2895390	           0	      602959	       71321	           0	     1386182	           0	           0	    11470515	           0	      655304	           0	    11307731	      501627	           0	           0	      256718	    18441618	    29912133	      909738	           0	      333970	      305095	      298780	       70009	           0	      542340	     2737827	        1148	           0	     7501477	           0	       85043	     1317708	     9095092	    11832919	     7322354	      737005	     1778624	      335222	     4672069	     6785915	     1762174	     -733796	    15873652	           0	           0	     2205562	    18079214	    29912133
1101   	台泥         	201103	    21429405	     5122001	           0	    17197382	        5662	         933	     8059799	           0	           0	    78662336	           0	     6786565	           0	   140342510	    12635760	           0	       50517	    14660143	   180842888	   259505224	    14850145	           0	           0	    10658778	     3013763	     1477697	           0	    16407384	    55758562	           0	     3500000	    63515664	           0	      494128	     6975851	    75018511	   130777073	    36921759	    15962923	     8287508	           0	    12251892	    20539400	    26474648	           0	    99898730	           0	           0	    28829421	   128728151	   259505224
1102   	亞泥         	201103	     8361717	     1203736	           0	    13034449	      903734	           0	     6093870	           0	           0	    34547010	           0	    45037365	           0	    66450820	     4847787	           0	           0	     2749034	   139332873	   173879883	     6739039	     1319609	      509875	     7751751	      229335	      317300	           0	     4449230	    22793261	           0	    24125336	    27816177	           0	           0	     1466299	    55675817	    78469078	    30753075	     8259554	    10177610	       39277	    15768236	    25985123	    16908310	           0	    81906062	           0	           0	    13504743	    95410805	   173879883
1103   	嘉泥         	201103	     2820364	     3274531	           0	      519375	      313004	           0	     1479030	           0	           0	    12043741	           0	      662329	           0	    11186416	      495149	        8715	           0	      247157	    20369019	    32412760	      999343	           0	      355010	      191854	      326883	       64262	           0	     1241112	     3662501	        1316	           0	     6369778	           0	       90004	     1378243	     8044590	    11707091	     7322354	      737005	     1778624	      335222	     5006338	     7120184	     3921584	     -733796	    18367331	           0	           0	     2338338	    20705669	    32412760
1101   	台泥         	201106	    20097071	     4731032	           0	    19856804	      217650	           0	     8397472	           0	           0	    81575502	           0	     6751072	           0	   140256833	    12501264	           0	       50517	    15463272	   181562553	   263138055	    16455287	       10456	           0	    12074515	    11719901	           0	           0	    14045602	    64627951	           0	     3500000	    61043734	           0	      428090	     6957232	    72308864	   136936815	    36921759	    15966491	     9090640	           0	     6794970	    15885610	    28275554	           0	    97049414	           0	           0	    29151826	   126201240	   263138055
1102   	亞泥         	201106	    15701753	     1150730	           0	    14153611	     5725152	           0	     7163704	           0	           0	    50316319	           0	    42046410	           0	    65245401	     4771049	           0	           0	     2929031	   135856604	   186172923	     6256795	     1277617	      594347	     8072471	     6072340	      368614	           0	     7096543	    31678068	           0	    28058346	    28311231	           0	           0	     1657744	    60104808	    91782876	    31368137	     8591737	    10950093	       64900	    12227191	    23242184	    17413956	           0	    80616014	           0	           0	    13774033	    94390047	   186172923
1103   	嘉泥         	201106	     3183570	     3503838	           0	      497742	       62206	           0	     1527374	           0	           0	    13125754	           0	      657565	           0	    11139447	      379961	           0	           0	      243310	    20777134	    33902888	     1082705	           0	      354183	      268182	      589224	       63360	           0	      697117	     3418496	        1402	           0	     6917943	           0	       88916	     1368260	     8574052	    11992548	     7542024	      737005	     1814610	      592193	     4601965	     7008768	     4943070	     -733796	    19497071	           0	           0	     2413269	    21910340	    33902888
1101   	台泥         	201109	    17017573	     3154646	           0	    19968207	       64288	           0	     9491947	           0	           0	    72055599	           0	     9580605	           0	   144415561	    13200241	           0	       50517	    16146064	   189239917	   261295516	    18476181	       10618	     3542367	    13169047	     2867404	      919013	           0	    12632990	    59441445	           0	     3500000	    65379526	           0	      342115	     7046764	    76663202	   136104647	    36921759	    15984716	     9090640	           0	     9365400	    18456040	    22416041	           0	    93778556	           0	           0	    31412313	   125190869	   261295516
1102   	亞泥         	201109	    17913545	     1515429	           0	    17159347	      841431	           0	     6861413	           0	           0	    50973106	           0	    42007486	           0	    68172546	     5224564	           0	           0	     2853947	   136255157	   187228263	     6605000	      515535	      844859	     8407163	      219027	      344158	           0	     6485264	    26913685	           0	    32052911	    29197290	           0	           0	     1466299	    65154882	    92068567	    31368137	     8566976	    10950093	       67000	    14551241	    25568334	    14467138	           0	    79970585	           0	           0	    15189111	    95159696	   187228263
1103   	嘉泥         	201109	     3458091	     2768961	           0	      616068	      160405	           0	     1579411	           0	           0	    12161020	           0	      648782	           0	    11193096	      397989	           0	           0	      246201	    18628574	    30789594	     1262081	           0	      423491	      226295	      352515	       59231	           0	     1217148	     4225459	        2037	           0	     6464899	           0	       89744	     1483389	     8271852	    12497311	     7542024	      771014	     1814610	      592194	     4068744	     6475548	     1914690	     -733796	    15969480	           0	           0	     2322803	    18292283	    30789594
1101   	台泥         	201112	    22140268	     3152664	           0	    18074170	       49576	     1267612	    10598551	     1928978	           0	    79269224	           0	     9650998	           0	   146486489	    13671350	           0	       64351	     6466305	   182625716	   261894940	    18891513	           0	     1429426	     8694590	     3423719	     1294394	     1434319	    17439820	    62253658	           0	     3500000	    58988270	           0	      271366	     7064013	    70320933	   132574591	    36921759	    16007768	     9090640	           0	    11364176	    20454816	    23399502	           0	    96783845	           0	           0	    32536504	   129320349	   261894940
1102   	亞泥         	201112	    17932709	     1430339	           0	    18804209	      459399	           0	     6547497	           0	           0	    50949032	           0	    46700973	           0	    73281723	     5112567	           0	           0	     2523866	   142656224	   193605256	     7123778	      480368	      604647	     7093740	      221074	      394260	           0	     6637941	    26353735	           0	    32028636	    27291847	           0	           0	     3673122	    64895531	    91249266	    31368137	     6640128	    10950093	       67000	    16356817	    27373910	    20987895	           0	    86370070	           0	           0	    15985920	   102355990	   193605256
1103   	嘉泥         	201112	     4353426	     1572483	           0	      897458	      185064	           0	     1894242	           0	           0	    12343843	           0	      660908	           0	    11105306	      385267	           0	           0	      255515	    17975436	    30319279	     1012361	           0	      516299	      572269	      258579	       78870	           0	     1216560	     4187980	        2056	           0	     6294838	           0	       84204	     1484943	     8064069	    12252049	     7542024	      771014	     1814610	      592193	     4100016	     6506819	     1589574	     -733796	    15675635	           0	           0	     2391595	    18067230	    30319279
1101   	台泥         	201203	    18169976	     2441874	           0	    18948576	      515005	     1239066	    10262283	           0	           0	    75624637	           0	     7042295	     5533928	   106682769	    17562610	           0	     5893801	    53539030	   195407163	   271031800	    17524267	       82941	     2007476	     9117087	     6896131	     1383915	           0	    19351805	    60445308	           0	     3500000	    55444879	           0	      388125	     9293279	    69103457	   129548765	    36921759	    12211032	     9090640	    13163791	    22488961	    44743392	    11094410	           0	   104970593	           -	           -	    36512442	   141483035	   271031800
1102   	亞泥         	201203	     6096166	     5205935	           0	    16861600	      838358	           0	     8652084	           0	           0	    50434966	      121204	    47720674	           0	    56655040	     2188810	      312154	     6925905	    24506959	   145888911	   196323877	     7218097	      838422	      671425	     7042289	      250106	      179419	           0	    10542989	    30758071	           0	    29451224	    22907787	      261171	      220617	     4516553	    59188337	    89946408	    31368137	      193535	    10950093	    14016163	    25561373	    50527629	     7330476	           0	    89419777	           -	           -	    16957692	   106377469	   196323877
1103   	嘉泥         	201203	     3362148	     1955880	           0	      621038	       79410	       37530	     1700819	           0	        6431	    12105072	           0	      663039	           0	     4627792	      113318	      283982	     6596154	     6994277	    18666252	    30771324	     1185302	           0	      420639	      338209	      241139	       78802	           0	     1128117	     3853301	        1711	           0	     6391154	           0	       93289	     1677022	     8366905	    12220206	     7542024	      421472	     1814610	      592193	     6834146	     9240949	      158438	    -1153409	    16209474	           -	           -	     2341644	    18551118	    30771324
1101   	台泥         	201206	    21298636	     2986069	           0	    18703047	      988959	     1250343	     9912026	           0	           0	    78766620	           0	     6860509	     5605849	   106693480	    17628713	           0	     5887777	    53076478	   194705937	   273472557	    21589019	       20846	     1413760	     9872294	    14778121	      789526	           0	    18413873	    70614685	       28841	     3500000	    55724782	           0	      360694	     9302241	    69401430	   140016115	    36921759	    12211032	     9952623	    13060950	    17141298	    40154871	     9466702	           0	    98754364	           -	           -	    34702078	   133456442	   273472557
1102   	亞泥         	201206	    12934374	     1149796	           0	    16973303	     4858504	           0	     7865245	           0	           0	    56018733	      613761	    44376493	           0	    56869866	     2195462	      303457	     6919410	    24384580	   142135687	   198154420	     9445412	      501145	      771558	     7674356	     7796962	      333659	           0	    14816320	    45242955	           0	    29759779	    17929342	      252965	      217584	     4362983	    54086245	    99329200	    32309181	      846857	    11954738	    14015761	    18190217	    44160716	     5093571	           0	    82410325	           -	           -	    16414895	    98825220	   198154420
1103   	嘉泥         	201206	     3721928	     1683287	           0	      871759	       72545	       37660	     1572112	           0	        2669	    12274731	      220937	      653745	           0	     4594296	      113300	      279666	     6581399	     6996559	    17199825	    29474556	      893715	           0	      396081	      540588	      363413	       26934	           0	     1108567	     4135037	        1701	           0	     6841323	           0	       90608	     1676188	     8822233	    12957270	     7768285	      421472	     1830635	      592193	     6253478	     8676306	    -1472315	    -1153409	    14240339	           -	           -	     2276947	    16517286	    29474556
